Date,Name,Year,Letterboxd URI,Rating,movie_id,genres,overview,director,cast,keywords,poster_path,backdrop_path
2026-08-23,Pinocchio: Unstrung,2026.0,https://letterboxd.com/sarthi_watcher/film/pinocchio-unstrung/,2.0,1232569.0,"Horror, Fantasy, Mystery","Influenced by a sinister Cricket and created by Geppetto, Pinocchio launches a violent crusade to carve himself into a real boy like his brother James, one piece at a time.",Rhys Frake-Waterfield,"Jude Evan Lloyd, Robert Englund, Cameron Bell","lie, puppet, killer doll, dark fantasy, aftercreditsstinger, evil puppet, toy comes to life, mysterious, aggressive, teamwork, absurd, slasher horror, the twisted childhood universe (tcu)",/eUJXk3bTvLBi5Zcb0BCedZU7lVL.jpg,/dNKFETDDujxm2PUN873Jwiw5VML.jpg
2026-08-21,Weapons,2025.0,https://letterboxd.com/sarthi_watcher/film/weapons-2025/,4.0,1078605.0,"Horror, Mystery","When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",Zach Cregger,"Julia Garner, Josh Brolin, Alden Ehrenreich","witch, small town, pennsylvania, usa, ritual, junkie, teacher, trance, witchcraft, clown makeup, multiple storylines, bullied, folk horror, dark fairy tale, unstable cop, supernatural horror, mysterious disappearance, spell, psychological horror, mystery, evil aunt, missing children",/cpf7vsRZ0MYRQcnLWteD5jK9ymT.jpg,/8VyTWJrNEyV2MTWvniDVp0MpOAe.jpg
2026-08-20,Dear Zoe,2022.0,https://letterboxd.com/sarthi_watcher/film/dear-zoe/,4.0,646473.0,Drama,Tess enlists her biological father – a lovable slacker from the wrong side of the tracks – and the charming juvenile delinquent next door to help her come to grips with the death of her little sister.,Gren Wells,"Sadie Sink, Theo Rossi, Kweku Collins","based on novel or book, coming of age, 9/11",,
2026-08-19,Minions & Monsters,2026.0,https://letterboxd.com/sarthi_watcher/film/minions-monsters-2026/,3.5,1315772.0,,,,,,/4LwvU9SZc8QQzW1X1FAPhNbXnEU.jpg,/kkcwhgSFd81QDlXo8ytrpHPQjhy.jpg
2026-08-18,The Invite,2026.0,https://letterboxd.com/sarthi_watcher/film/the-invite-2026/,4.0,950028.0,,,,,,/hFLVVF6GSfFkvDlht6iCsCcFjrh.jpg,/lEwqBGNR65KZv6Ej5ufcmhZu2y2.jpg
2026-08-18,Ecstasy,1933.0,https://letterboxd.com/sarthi_watcher/film/ecstasy/,2.5,43124.0,"Drama, Romance","Eva has just gotten married to an older gentleman, but discovers that he is obsessed with order in his life and doesn't have much room for passion. She becomes despondent and leaves him, returning to her father's house. One day while bathing in the lake, she meets a young man and they fall in love. The husband has become grief stricken at the loss of his young bride, and fate brings him together with the young lover that has taken Eva from him.",Gustav Machatý,"Hedy Lamarr, Zvonimir Rogoz, Aribert Mog","black and white, suicide of husband",/nwCNnXnw0iYsMdWqp4qyGrzHTh0.jpg,/fJlmuteVveQc46ItJKRQKj06FNq.jpg
2026-08-16,The Man from Earth: Holocene,2017.0,https://letterboxd.com/sarthi_watcher/film/the-man-from-earth-holocene/,3.0,415312.0,,,,,,/krOWstmTUdfafRbXH9YAjVj2zE5.jpg,/emOo9AFT4aJoDcye7RrQcnOzoen.jpg
2026-08-15,The Man from Earth,2007.0,https://letterboxd.com/sarthi_watcher/film/the-man-from-earth/,4.5,13363.0,"Science Fiction, Drama","A departing professor gathers his closest colleagues for an intimate farewell, but the night takes an unexpected turn when he shares a stunning secret about his past. As the conversation unfolds, skepticism and curiosity collide, challenging everything they thought they knew about history, science, and belief.",Richard Schenkman,"David Lee Smith, Tony Todd, John Billingsley","immortality, birthday, legend, philosophy, professor, psychology, bible, time, survival, anthropology, prehistory, religion, memory, church, cavemen, assertive, dignified, enchant",,
2026-08-14,Jack Reacher: Never Go Back,2016.0,https://letterboxd.com/sarthi_watcher/film/jack-reacher-never-go-back/,3.0,343611.0,"Action, Thriller, Drama, Crime","Years after resigning command of an elite military police unit, the nomadic, righter-of-wrongs Reacher is drawn back into the life he left behind when his friend and successor, Major Susan Turner is framed for espionage. Reacher will stop at nothing to prove her innocence and to expose the real perpetrators behind the killings of his former soldiers.",Edward Zwick,"Tom Cruise, Cobie Smulders, Danika Yarosh","based on novel or book, espionage, military officer, homicide, falsely accused, new orleans, louisiana, investigation, afghanistan, sequel, on the run, false accusations, military police, court martial, ex military, army officer, ex army, military cover-up, intense, murders, u.s. army, military contractor, jag - judge advocate general, classified information",/cOg3UT2NYWHZxp41vpxAnVCOC4M.jpg,/ww1eIoywghjoMzRLRIcbJLuKnJH.jpg
2026-08-12,100 METERS,2025.0,https://letterboxd.com/sarthi_watcher/film/100-meters-2025/,4.5,1295026.0,"Animation, Drama","A gifted runner trains a determined but unskilled classmate, unaware he's creating a rival who will challenge him on the track for years to come.",Kenji Iwaisawa,"Tori Matsuzaka, Shota Sometani, Yuma Uchida","competition, rivalry, coming of age, based on manga, track and field, school life, athletics, anime, sportsmanship, inspirational, running",/kQyS2UrSbkd5AF0seuTSvRqWIdh.jpg,/3vvRZ4jrASzTObkhfne6Mky8LBP.jpg
2026-08-07,The Devil's Mouth,2026.0,https://letterboxd.com/sarthi_watcher/film/the-devils-mouth/,2.0,1481343.0,,,,,,/lH8k9uCWYn2b2gsYleqYBDPbWa8.jpg,/4wmvU2Px3C8v3qqyNpBmgJrWQEx.jpg
2026-08-07,Jack Reacher,2012.0,https://letterboxd.com/sarthi_watcher/film/jack-reacher/,3.0,75780.0,,,,,,/uQBbjrLVsUibWxNDGA4Czzo8lwz.jpg,/iwvP8XVpYVmJ3xfF9xdBi5uAOWl.jpg
2026-08-03,Bad Girls Go to Hell,1965.0,https://letterboxd.com/sarthi_watcher/film/bad-girls-go-to-hell/,2.0,42732.0,,,,,,/vfFT9V2EPHFCgvT6kpBP7MixNAe.jpg,/60kXjgoXqlKNhtX3TaJZaQDkDYo.jpg
2026-08-02,Spider-Man: Brand New Day,2026.0,https://letterboxd.com/sarthi_watcher/film/spider-man-brand-new-day/,4.0,969681.0,"Science Fiction, Action, Adventure",Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,Destin Daniel Cretton,"Tom Holland, Zendaya, Mark Ruffalo","mind control, new york city, hero, mutation, secret identity, superhero, spider, villain, based on comic, sequel, transhumanism, super power, masked vigilante, spider web, aftercreditsstinger, marvel cinematic universe (mcu), masked superhero, fight for justice, genetic mutation",/ghF1JYv7P5BgWHYfq9dqhqqNfz8.jpg,/7iwUUcKURMT7aKfCwMy6YnGtchD.jpg
2026-07-30,The Man Who Sleeps,1974.0,https://letterboxd.com/sarthi_watcher/film/the-man-who-sleeps/,3.0,104086.0,,,,,,/bEX0pQzpmsBM6pRo3meindwNTzE.jpg,/wApH0pzzDIiw5mKv8vnfVOlt0iR.jpg
